time_s,body_x_m,body_y_m,body_z_m,body_dx_m,body_dy_m,body_dz_m,body_vx_m_s,body_vy_m_s,body_vz_m_s,body_wx_rad_s,body_wy_rad_s,body_wz_rad_s,roll_rad,pitch_rad,yaw_rad,roll_deg,pitch_deg,yaw_deg,m1_cmd_rad,m1_cmd_deg,m1_q_rad,m1_q_deg,m1_vel_rad_s,j1_q_rad,j2_q_rad,j3_q_rad,j4_q_rad,j1_q_deg,j2_q_deg,j3_q_deg,j4_q_deg,j1_vel_rad_s,j2_vel_rad_s,j3_vel_rad_s,j4_vel_rad_s,j1_tau_raw_nm,j2_tau_raw_nm,j3_tau_raw_nm,j4_tau_raw_nm,j1_tau_applied_nm,j2_tau_applied_nm,j3_tau_applied_nm,j4_tau_applied_nm,j1_clipped,j2_clipped,j3_clipped,j4_clipped,tail_tip_relative_rad,tail_tip_relative_deg,safety_tripped
4.202,-3.5,0,2,0,0,0,0,0,0,0,0,0,-4.33680869e-19,-0,-1.293984181e-34,-2.484808345e-17,-0,-7.413983235e-33,0.1333242417,7.638916358,0.1406053738,8.056094494,0.1357956692,0.007539549376,0.006035336798,0.004553118013,0.003269398209,0.4319843587,0.3457993265,0.2608744458,0.1873227189,0.03116467335,0.01204499144,0.01576486588,0.02264969354,-0.1659012509,-0.1327894546,-0.1001843611,-0.0719494103,-0.1659012509,-0.1327894546,-0.1001843611,-0.0719494103,0,0,0,0,0.1620027762,9.282075344,0
4.2075,-3.5,0,2,0,0,0,0,0,0,0,0,0,-4.33680869e-19,-0,-1.293984181e-34,-2.484808345e-17,-0,-7.413983235e-33,0.1346776222,7.716459348,0.141295195,8.095618337,0.1357620234,0.007814575742,0.006192840385,0.00445191982,0.003045327473,0.4477422087,0.3548236172,0.2550762164,0.1744844114,0.04223164939,0.01638411379,-0.03487331571,-0.05743467785,-0.171962898,-0.1362588726,-0.09790736271,-0.06693976973,-0.171962898,-0.1362588726,-0.09790736271,-0.06693976973,0,0,0,0,0.1627998584,9.327744791,0
4.213,-3.5,0,2,0,0,0,0,0,0,0,0,0,-4.33680869e-19,-0,-1.293984181e-34,-2.484808345e-17,-0,-7.413983235e-33,0.1358701837,7.784788088,0.1422998111,8.153178603,0.2233266489,0.007709676715,0.0059986081,0.004301653739,0.002958202653,0.4417319372,0.3436949271,0.2464666041,0.169492527,-0.08618518075,-0.05617980625,-0.01539549631,0.003016692673,-0.1695267026,-0.1319131984,-0.09462098675,-0.06508347506,-0.1695267026,-0.1319131984,-0.09462098675,-0.06508347506,0,0,0,0,0.1632679523,9.354564599,0
4.2185,-3.5,0,2,0,0,0,0,0,0,0,0,0,-4.33680869e-19,-0,-1.293984181e-34,-2.484808345e-17,-0,-7.413983235e-33,0.1369005022,7.843820987,0.143474053,8.220457708,0.1835808807,0.007306718885,0.005615234697,0.004121276845,0.002915247394,0.4186441542,0.3217292491,0.2361317694,0.1670313719,-0.03436684185,-0.06419552629,-0.05732622298,-0.03978625848,-0.1607134486,-0.1234709678,-0.09061076437,-0.06409565641,-0.1607134486,-0.1234709678,-0.09061076437,-0.06409565641,0,0,0,0,0.1634325309,9.363994253,0
4.224,-3.5,0,2,0,0,0,0,0,0,0,0,0,-4.33680869e-19,-0,-1.293984181e-34,-2.484808345e-17,-0,-7.413983235e-33,0.1377673473,7.893487554,0.1442659555,8.265830375,0.1192435539,0.007291918803,0.005411548846,0.003707822303,0.002456925651,0.417796172,0.3100589095,0.2124425691,0.1407714704,0.01428160507,-0.04099547522,-0.07940675342,-0.08203562538,-0.1604364953,-0.1190130791,-0.0814926839,-0.0539703287,-0.1604364953,-0.1190130791,-0.0814926839,-0.0539703287,0,0,0,0,0.1631341711,9.346899496,0
4.2295,-3.5,0,2,0,0,0,0,0,0,0,0,0,-4.33680869e-19,-0,-1.293984181e-34,-2.484808345e-17,-0,-7.413983235e-33,0.138469684,7.933728481,0.1449271788,8.303715683,0.1189159638,0.007106545972,0.005129830969,0.00344023334,0.002246232026,0.4071750911,0.2939176641,0.1971108509,0.1286996149,-0.07792529922,-0.05302636677,-0.01904520576,-0.00262971745,-0.1562660861,-0.112803255,-0.07566608828,-0.04941447485,-0.1562660861,-0.112803255,-0.07566608828,-0.04941447485,0,0,0,0,0.1628500211,9.330618904,0
4.235,-3.5,0,2,0,0,0,0,0,0,0,0,0,-4.33680869e-19,-0,-1.293984181e-34,-2.484808345e-17,-0,-7.413983235e-33,0.1390066735,7.964495717,0.1453073542,8.32549813,0.01243513642,0.006804955122,0.004881748739,0.003391620839,0.002314443101,0.3898952082,0.2797035994,0.1943255598,0.1326078216,-0.0202591195,-0.01391428266,-0.007958703872,-0.004982966914,-0.1496887536,-0.107384558,-0.07460769975,-0.05091276526,-0.1496887536,-0.107384558,-0.07460769975,-0.05091276526,0,0,0,0,0.162700122,9.32203032,0
4.2405,-3.5,0,2,0,0,0,0,0,0,0,0,0,-4.33680869e-19,-0,-1.293984181e-34,-2.484808345e-17,-0,-7.413983235e-33,0.1393776748,7.985752522,0.1449748254,8.30644563,-0.1081593655,0.006973790221,0.004992353753,0.003338910561,0.002183150843,0.3995687469,0.2860407999,0.1913054833,0.1250853294,0.05826015801,0.03047010739,-0.004430988972,-0.01525045642,-0.153481645,-0.1098622527,-0.07345160136,-0.0480140681,-0.153481645,-0.1098622527,-0.07345160136,-0.0480140681,0,0,0,0,0.1624630308,9.30844599,0
4.246,-3.5,0,2,0,0,0,0,0,0,0,0,0,-4.33680869e-19,-0,-1.293984181e-34,-2.484808345e-17,-0,-7.413983235e-33,0.1395822447,7.997473514,0.1443098833,8.268347252,-0.1282851223,0.007087380061,0.005171261864,0.003494903685,0.002295101628,0.4060769653,0.2962914796,0.200243231,0.1314996368,-0.009401804434,0.02455941686,0.05447337894,0.05728165541,-0.1559129595,-0.1137923204,-0.07694235446,-0.05054951747,-0.1559129595,-0.1137923204,-0.07694235446,-0.05054951747,0,0,0,0,0.1623585305,9.302458565,0
4.2515,-3.5,0,2,0,0,0,0,0,0,0,0,0,-4.33680869e-19,-0,-1.293984181e-34,-2.484808345e-17,-0,-7.413983235e-33,0.139620139,7.999644697,0.1434448057,8.218781959,-0.1900034407,0.007066758065,0.005329664234,0.003822715482,0.00265478778,0.404895412,0.3053672668,0.2190254634,0.1521081353,0.01448029806,0.0492337538,0.05347971212,0.04431345503,-0.1554831577,-0.1173018469,-0.08415322032,-0.05844964461,-0.1554831577,-0.1173018469,-0.08415322032,-0.05844964461,0,0,0,0,0.1623187312,9.300178236,0
4.257,-3.5,0,2,0,0,0,0,0,0,0,0,0,-4.33680869e-19,-0,-1.293984181e-34,-2.484808345e-17,-0,-7.413983235e-33,0.1394913124,7.992263477,0.1421859292,8.146653649,-0.2454805564,0.007371191953,0.005645355741,0.004011594897,0.002746146614,0.4223381889,0.3234550578,0.2298474567,0.1573426109,0.06848999375,0.05647691609,0.02434138226,0.004175986651,-0.162234713,-0.1242543032,-0.08827942911,-0.0604194015,-0.162234713,-0.1242543032,-0.08827942911,-0.0604194015,0,0,0,0,0.1619602184,9.279636963,0
4.2625,-3.5,0,2,0,0,0,0,0,0,0,0,0,-4.33680869e-19,-0,-1.293984181e-34,-2.484808345e-17,-0,-7.413983235e-33,0.1391959188,7.97533867,0.140947944,8.075722321,-0.2036173257,0.00752529166,0.005849100768,0.004171349086,0.002852681014,0.4311674517,0.335128788,0.2390006975,0.1634465824,-0.004553927434,0.00844713289,0.032605777,0.04000662542,-0.1655518626,-0.128688664,-0.09180228566,-0.06279898893,-0.1655518626,-0.128688664,-0.09180228566,-0.06279898893,0,0,0,0,0.1613463665,9.244465841,0
4.268,-3.5,0,2,0,0,0,0,0,0,0,0,0,-4.33680869e-19,-0,-1.293984181e-34,-2.484808345e-17,-0,-7.413983235e-33,0.1387343108,7.948890484,0.1398942234,8.015348578,-0.193412164,0.007404459426,0.005828201526,0.004286479592,0.003016124119,0.4242442747,0.3339313496,0.2455971896,0.1728111825,-0.01730530885,-0.0052197844,0.001986476835,0.004224981639,-0.1628808021,-0.1282152138,-0.0943045375,-0.06635895559,-0.1628808021,-0.1282152138,-0.0943045375,-0.06635895559,0,0,0,0,0.160429488,9.191932574,0
4.2735,-3.5,0,2,0,0,0,0,0,0,0,0,0,-4.33680869e-19,-0,-1.293984181e-34,-2.484808345e-17,-0,-7.413983235e-33,0.1381070398,7.912950502,0.1387603269,7.950381093,-0.2082486053,0.007451098435,0.005771153652,0.004139281858,0.002852912121,0.4269164931,0.3306627472,0.2371633807,0.1634598239,0.01190362362,-0.01355034812,-0.04273705771,-0.05146766455,-0.1639360692,-0.12695183,-0.09102146381,-0.06271259901,-0.1639360692,-0.12695183,-0.09102146381,-0.06271259901,0,0,0,0,0.1589747729,9.108583538,0
4.279,-3.5,0,2,0,0,0,0,0,0,0,0,0,-4.33680869e-19,-0,-1.293984181e-34,-2.484808345e-17,-0,-7.413983235e-33,0.1373148547,7.86756164,0.1377014991,7.88971473,-0.1791180121,0.007355471169,0.00557532158,0.003905175342,0.002641025287,0.4214374543,0.3194423959,0.2237500654,0.1513196026,-0.0451004905,-0.05721767338,-0.03809625685,-0.01917169013,-0.1617752652,-0.1225998571,-0.08587576127,-0.05808338463,-0.1617752652,-0.1225998571,-0.08587576127,-0.05808338463,0,0,0,0,0.1571784925,9.005664249,0
