time_s,motor_angle_rad,motor_velocity_rad_s,motor_frequency_hz,motor_effort_nm,left_length_m,right_length_m,left_rest_length_m,right_rest_length_m,left_delta_length_m,right_delta_length_m,left_length_velocity_m_s,right_length_velocity_m_s,left_force_n,right_force_n,j0_deg,j1_deg,j2_deg,j3_deg,j4_deg,left_tau_j0_nm,left_tau_j1_nm,left_tau_j2_nm,left_tau_j3_nm,left_tau_j4_nm,right_tau_j0_nm,right_tau_j1_nm,right_tau_j2_nm,right_tau_j3_nm,right_tau_j4_nm,total_tau_j0_nm,total_tau_j1_nm,total_tau_j2_nm,total_tau_j3_nm,total_tau_j4_nm,left_anchor_fx_n,left_anchor_fy_n,left_anchor_fz_n,right_anchor_fx_n,right_anchor_fy_n,right_anchor_fz_n,force_residual_n,torque_residual_nm,safety_tripped
3.568,5.86730596731,-241.382609645,-38.4172355014,100,0.230271503899,0.280828983392,0.280896914076,0.280896914076,-0.0506254101772,-6.79306845925e-05,12.6955989002,-7.66718611326,-885.552214542,-78.0304748245,91.0789395182,-8.28746758908,3.35858683275,81.9039710952,82.837682556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.56925,5.56557770526,-241.382609645,-38.4172355014,100,0.236082268321,0.272403212894,0.280896914076,0.280896914076,-0.0448146457558,-0.00849370118278,4.06698030443,-4.95016211969,-855.623112072,-219.375644852,76.75499464,6.0364772892,-10.9653580455,82.8257417757,82.837682556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.5705,5.2638494432,-241.382609645,-38.4172355014,100,0.241080813333,0.265271089707,0.280896914076,0.280896914076,-0.0398161007438,-0.0156258243698,7.3991679937,-2.99076130629,-722.330334939,-342.424100459,91.0789395182,-8.28746758908,3.35858683275,81.9039710952,82.837682556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.57175,4.96212118114,-241.382609645,-38.4172355014,100,0.243694835137,0.260740061002,0.280896914076,0.280896914076,-0.0372020789396,-0.0201568530741,2.66985777916,-2.5465369412,-717.343001001,-428.602430894,76.75499464,6.0364772892,-10.9653580455,82.8257417757,82.837682556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.573,4.66039291909,-241.382609645,-38.4172355014,100,0.244405091381,0.259815666004,0.280896914076,0.280896914076,-0.0364918226954,-0.0210812480721,3.32606639997,2.99981097209,-696.575789908,-391.62685172,91.0789395182,-8.28746758908,3.35858683275,81.9039710952,82.837682556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.57425,4.35866465703,-241.382609645,-38.4172355014,100,0.242962003144,0.261937592408,0.280896914076,0.280896914076,-0.0379349109326,-0.0189593216687,-0.708012672368,2.98606069094,-765.778345377,-349.325826465,76.75499464,6.0364772892,-10.9653580455,82.8257417757,82.837682556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.5755,4.05693639498,-241.382609645,-38.4172355014,100,0.239717567562,0.267408678195,0.280896914076,0.280896914076,-0.0411793465147,-0.013488235881,1.02203864315,6.98181451197,-813.366543863,-199.946572499,91.0789395182,-8.28746758908,3.35858683275,81.9039710952,82.837682556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.57675,3.75520813292,-241.382609645,-38.4172355014,100,0.233993913038,0.275327287855,0.280896914076,0.280896914076,-0.046903001038,-0.00556962622178,-5.55607494705,8.5655113962,-993.62077023,-25.7374104736,76.75499464,6.0364772892,-10.9653580455,82.8257417757,82.837682556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.578,3.45347987087,-241.382609645,-38.4172355014,100,0.227769359404,0.284020552904,0.280896914076,0.280896914076,-0.0531275546728,0.00312363882742,0.984254358322,7.21297273619,-1052.70854987,134.60250391,91.0789395182,-8.28746758908,3.35858683275,81.9039710952,82.837682556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.57925,3.15175160881,-241.382609645,-38.4172355014,100,0.218245817767,0.294277130486,0.280896914076,0.280896914076,-0.0626510963094,0.0133802164096,-11.2386141085,11.6191095834,-1365.40806727,383.795424025,76.75499464,6.0364772892,-10.9653580455,82.8257417757,82.837682556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
