time_s,root_q_rad,root_q_deg,j1_q_rad,j2_q_rad,j3_q_rad,j4_q_rad,j1_q_deg,j2_q_deg,j3_q_deg,j4_q_deg,tip_angle_rad,tip_angle_deg,j1_vel_rad_s,j2_vel_rad_s,j3_vel_rad_s,j4_vel_rad_s,j1_tau_nm,j2_tau_nm,j3_tau_nm,j4_tau_nm
22.424,-0.003903902731,-0.2236771501,-0.006742493295,0.01814836044,-0.04471870345,0.03381109773,-0.3863164092,1.039824458,-2.562192973,1.937233201,0.0004982614193,0.02854827642,-6.800128125,16.98090094,-27.67450779,18.09397362,0.05,-0.05,0.05,-0.05
22.436,1.51128471e-05,0.0008659023555,-0.00157187837,-0.0340150729,0.05646827237,-0.0338585482,-0.09006199649,-1.948920117,3.235393683,-1.939951912,-0.0129772271,-0.7435403428,-4.729557046,6.33866887,-4.669259672,1.464038509,0.03931088118,0.05,-0.05,0.05
22.448,-0.008464890866,-0.4850025207,0.0118668258,-0.01863728086,0.01196073602,-0.008715712456,0.6799190344,-1.067837535,0.685299694,-0.4993735392,-0.003525431499,-0.2019923459,10.05313785,-22.1341331,32.00733467,-20.08814996,-0.05,0.05,-0.05,0.05
22.46,-0.004836462841,-0.2771089085,-0.006586129684,0.03895824189,-0.08430248916,0.05098747143,-0.3773574342,2.232142838,-4.830176831,2.921366921,-0.0009429055178,-0.05402450665,0.4168222725,-0.7128241382,0.9957906416,-0.7529873657,0.05,-0.05,0.05,-0.05
22.472,0.001596946369,0.09149828703,-0.0141956291,0.01733272101,-0.02839332529,0.01269863259,-0.8133496351,0.9930917616,-1.626817705,0.7275780529,-0.01255760079,-0.7194975261,-3.238889098,6.64848403,-11.49550391,8.394735254,0.05,-0.05,0.05,-0.05
22.484,0.001294949732,0.07419515435,-0.006687404207,0.009834266635,-0.05561573665,0.04843350774,-0.383160037,0.5634619728,-3.186546985,2.775035581,-0.004035366484,-0.2312094683,0.5959588136,2.469590216,-9.008276382,7.535096086,0.05,-0.05,0.05,-0.05
22.496,0.005313983356,0.3044688187,-0.02076377003,0.01589606421,-0.02758716995,0.01945997214,-1.18967639,0.9107773904,-1.580628407,1.114974273,-0.01299490362,-0.7445531327,-4.921780203,16.18946971,-24.34067087,14.2511503,0.05,-0.05,0.05,-0.05
22.508,-0.004090311036,-0.2343575592,-0.003980497032,0.008200777553,-0.01410541735,0.001613715621,-0.2280656803,0.4698699425,-0.8081808826,0.09245909439,-0.008271421212,-0.473917526,-4.778989529,14.90616941,-23.23812441,13.99377234,0.05,-0.05,0.05,-0.04949551599
22.52,-0.00368104128,-0.2109081296,-0.002409280944,0.004923178542,-0.0166414882,0.006676880463,-0.1380416298,0.2820773523,-0.9534870384,0.3825570708,-0.007450710135,-0.4268942451,-0.8833374783,0.793292832,-1.493383104,1.497416906,0.05,-0.05,0.05,-0.05
22.532,-0.00213601442,-0.1223846113,0.001679161274,-0.01743305532,0.01198937217,-0.005116954932,0.09620885411,-0.9988404941,0.6869404242,-0.2931799215,-0.008881476815,-0.5088711374,0.92532102,-2.893385519,4.50177218,-2.846918141,-0.03786686904,0.05,-0.05,0.05
22.544,-0.004386504472,-0.2513281931,0.001314677274,0.00476778686,-0.02314126907,0.009449206221,0.0753254592,0.2731740647,-1.32589705,0.5413996362,-0.007609598714,-0.4359978901,2.786187864,-2.144690292,0.5169291472,-0.4419686604,-0.03170908788,-0.05,0.05,-0.05
22.556,-0.00296365637,-0.1698050019,0.003279658243,-0.00845331296,0.008545959495,-0.01904056121,0.1879105756,-0.4843391555,0.4896474109,-1.090943797,-0.01566825643,-0.8977249657,-0.3965671152,-1.465203258,4.365853546,-3.576980434,-0.05,0.05,-0.05,0.05
22.568,0.001739792595,0.09968277295,-0.005097231068,0.003017338332,-0.02095097765,0.008094494935,-0.2920498274,0.1728807518,-1.200402596,0.4637803971,-0.01493637545,-0.8557912743,-2.052308713,5.001116654,-9.179372674,6.930479969,0.05,-0.05,0.05,-0.05
22.58,-0.001571279486,-0.09002768297,0.002419511559,-0.0117081162,-0.0007807604258,0.0004147243158,0.1386278008,-0.6708256441,-0.04473427721,0.02376195296,-0.009654640747,-0.5531701675,4.536571977,-9.92616556,14.35754242,-8.547396121,-0.05,0.05,0.002819186942,-0.0005765388274
